Series_Title,Overview,concatenated_text
A Streetcar Named Desire,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brotherinlaw while her reality crumbles around her,A Streetcar Named Desire Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brotherinlaw while her reality crumbles around her
In a Lonely Place,A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him However she soon starts to have her doubts,In a Lonely Place A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him However she soon starts to have her doubts
Kind Hearts and Coronets,A distant poor relative of the Duke DAscoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession,Kind Hearts and Coronets A distant poor relative of the Duke DAscoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession
Rope,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death,Rope Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death
Out of the Past,A private eye escapes his past to run a gas station in a small town but his past catches up with him Now he must return to the big city world of danger corruption double crosses and duplicitous dames,Out of the Past A private eye escapes his past to run a gas station in a small town but his past catches up with him Now he must return to the big city world of danger corruption double crosses and duplicitous dames
Brief Encounter,Meeting a stranger in a railway station a woman is tempted to cheat on her husband,Brief Encounter Meeting a stranger in a railway station a woman is tempted to cheat on her husband
Laura,A police detective falls in love with the woman whose murder he is investigating,Laura A police detective falls in love with the woman whose murder he is investigating
The Best Years of Our Lives,Three World War II veterans return home to smalltown America to discover that they and their families have been irreparably changed,The Best Years of Our Lives Three World War II veterans return home to smalltown America to discover that they and their families have been irreparably changed
Arsenic and Old Lace,A writer of books on the futility of marriage risks his reputation when he decides to get married Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers,Arsenic and Old Lace A writer of books on the futility of marriage risks his reputation when he decides to get married Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers
The Maltese Falcon,A private detective takes on a case that involves him with three eccentric criminals a gorgeous liar and their quest for a priceless statuette,The Maltese Falcon A private detective takes on a case that involves him with three eccentric criminals a gorgeous liar and their quest for a priceless statuette
The Grapes of Wrath,A poor Midwest family is forced off their land They travel to California suffering the misfortunes of the homeless in the Great Depression,The Grapes of Wrath A poor Midwest family is forced off their land They travel to California suffering the misfortunes of the homeless in the Great Depression
The Wizard of Oz,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well,The Wizard of Oz Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well
La rgle du jeu,A bourgeois life in France at the onset of World War II as the rich and their poor servants meet up at a French chateau,La rgle du jeu A bourgeois life in France at the onset of World War II as the rich and their poor servants meet up at a French chateau
The Thin Man,Former detective Nick Charles and his wealthy wife Nora investigate a murder case mostly for the fun of it,The Thin Man Former detective Nick Charles and his wealthy wife Nora investigate a murder case mostly for the fun of it
All Quiet on the Western Front,A German youth eagerly enters World War I but his enthusiasm wanes as he gets a firsthand view of the horror,All Quiet on the Western Front A German youth eagerly enters World War I but his enthusiasm wanes as he gets a firsthand view of the horror
Bronenosets Potemkin,In the midst of the Russian Revolution of the crew of the battleship Potemkin mutiny against the brutal tyrannical regime of the vessels officers The resulting street demonstration in Odessa brings on a police massacre,Bronenosets Potemkin In the midst of the Russian Revolution of the crew of the battleship Potemkin mutiny against the brutal tyrannical regime of the vessels officers The resulting street demonstration in Odessa brings on a police massacre
Knives Out,A detective investigates the death of a patriarch of an eccentric combative family,Knives Out A detective investigates the death of a patriarch of an eccentric combative family
Dil Bechara,The emotional journey of two hopelessly in love youngsters a young girl Kizie suffering from cancer and a boy Manny whom she meets at a support group,Dil Bechara The emotional journey of two hopelessly in love youngsters a young girl Kizie suffering from cancer and a boy Manny whom she meets at a support group
Manbiki kazoku,A family of smalltime crooks take in a child they find outside in the cold,Manbiki kazoku A family of smalltime crooks take in a child they find outside in the cold
Marriage Story,Noah Baumbachs incisive and compassionate look at a marriage breaking up and a family staying together,Marriage Story Noah Baumbachs incisive and compassionate look at a marriage breaking up and a family staying together
Call Me by Your Name,In s Italy romance blossoms between a seventeenyearold student and the older man hired as his fathers research assistant,Call Me by Your Name In s Italy romance blossoms between a seventeenyearold student and the older man hired as his fathers research assistant
I Daniel Blake,After having suffered a heartattack a yearold carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance,I Daniel Blake After having suffered a heartattack a yearold carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance
Isle of Dogs,Set in Japan Isle of Dogs follows a boys odyssey in search of his lost dog,Isle of Dogs Set in Japan Isle of Dogs follows a boys odyssey in search of his lost dog
Hunt for the Wilderpeople,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush,Hunt for the Wilderpeople A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush
Captain Fantastic,In the forests of the Pacific Northwest a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world challenging his idea of what it means to be a parent,Captain Fantastic In the forests of the Pacific Northwest a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world challenging his idea of what it means to be a parent
Sing Street,A boy growing up in Dublin during the s escapes his strained family life by starting a band to impress the mysterious girl he likes,Sing Street A boy growing up in Dublin during the s escapes his strained family life by starting a band to impress the mysterious girl he likes
Thor Ragnarok,Imprisoned on the planet Sakaar Thor must race against time to return to Asgard and stop Ragnark the destruction of his world at the hands of the powerful and ruthless villain Hela,Thor Ragnarok Imprisoned on the planet Sakaar Thor must race against time to return to Asgard and stop Ragnark the destruction of his world at the hands of the powerful and ruthless villain Hela
Nightcrawler,When Louis Bloom a con man desperate for work muscles into the world of LA crime journalism he blurs the line between observer and participant to become the star of his own story,Nightcrawler When Louis Bloom a con man desperate for work muscles into the world of LA crime journalism he blurs the line between observer and participant to become the star of his own story
Jojo Rabbit,A young boy in Hitlers army finds out his mother is hiding a Jewish girl in their home,Jojo Rabbit A young boy in Hitlers army finds out his mother is hiding a Jewish girl in their home
Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world,Arrival A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world
Star Wars Episode VII The Force Awakens,As a new threat to the galaxy rises Rey a desert scavenger and Finn an exstormtrooper must join Han Solo and Chewbacca to search for the one hope of restoring peace,Star Wars Episode VII The Force Awakens As a new threat to the galaxy rises Rey a desert scavenger and Finn an exstormtrooper must join Han Solo and Chewbacca to search for the one hope of restoring peace
Before Midnight,We meet Jesse and Celine nine years on in Greece Almost two decades have passed since their first meeting on that train bound for Vienna,Before Midnight We meet Jesse and Celine nine years on in Greece Almost two decades have passed since their first meeting on that train bound for Vienna
XMen Days of Future Past,The XMen send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants,XMen Days of Future Past The XMen send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants
Bir Zamanlar Anadoluda,A group of men set out in search of a dead body in the Anatolian steppes,Bir Zamanlar Anadoluda A group of men set out in search of a dead body in the Anatolian steppes
The Artist,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywoods silent era,The Artist An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywoods silent era
Edge of Tomorrow,A soldier fighting aliens gets to relive the same day over and over again the day restarting every time he dies,Edge of Tomorrow A soldier fighting aliens gets to relive the same day over and over again the day restarting every time he dies
Amour,Georges and Anne are an octogenarian couple They are cultivated retired music teachers Their daughter also a musician lives in Britain with her family One day Anne has a stroke and the couples bond of love is severely tested,Amour Georges and Anne are an octogenarian couple They are cultivated retired music teachers Their daughter also a musician lives in Britain with her family One day Anne has a stroke and the couples bond of love is severely tested
The Irishman,An old man recalls his time painting houses for his friend Jimmy Hoffa through the s,The Irishman An old man recalls his time painting houses for his friend Jimmy Hoffa through the s
Un prophte,A young Arab man is sent to a French prison,Un prophte A young Arab man is sent to a French prison
Moon,Astronaut Sam Bell has a quintessentially personal encounter toward the end of his threeyear stint on the Moon where he working alongside his computer GERTY sends back to Earth parcels of a resource that has helped diminish our planets power problems,Moon Astronaut Sam Bell has a quintessentially personal encounter toward the end of his threeyear stint on the Moon where he working alongside his computer GERTY sends back to Earth parcels of a resource that has helped diminish our planets power problems
Lt den rtte komma in,Oskar an overlooked and bullied boy finds love and revenge through Eli a beautiful but peculiar girl,Lt den rtte komma in Oskar an overlooked and bullied boy finds love and revenge through Eli a beautiful but peculiar girl
District,Violence ensues after an extraterrestrial race forced to live in slumlike conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology,District Violence ensues after an extraterrestrial race forced to live in slumlike conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology
The Wrestler,A faded professional wrestler must retire but finds his quest for a new life outside the ring a dispiriting struggle,The Wrestler A faded professional wrestler must retire but finds his quest for a new life outside the ring a dispiriting struggle
Jab We Met,A depressed wealthy businessman finds his life changing after he meets a spunky and carefree young woman,Jab We Met A depressed wealthy businessman finds his life changing after he meets a spunky and carefree young woman
Boyhood,The life of Mason from early childhood to his arrival at college,Boyhood The life of Mason from early childhood to his arrival at college
luni saptamni si zile,A woman assists her friend in arranging an illegal abortion in s Romania,luni saptamni si zile A woman assists her friend in arranging an illegal abortion in s Romania
Star Trek,The brash James T Kirk tries to live up to his fathers legacy with Mr Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time,Star Trek The brash James T Kirk tries to live up to his fathers legacy with Mr Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time
In Bruges,Guiltstricken after a job gone wrong hitman Ray and his partner await orders from their ruthless boss in Bruges Belgium the last place in the world Ray wants to be,In Bruges Guiltstricken after a job gone wrong hitman Ray and his partner await orders from their ruthless boss in Bruges Belgium the last place in the world Ray wants to be
The Man from Earth,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine,The Man from Earth An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine
Letters from Iwo Jima,The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II as told from the perspective of the Japanese who fought it,Letters from Iwo Jima The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II as told from the perspective of the Japanese who fought it
The Fall,In a hospital on the outskirts of s Los Angeles an injured stuntman begins to tell a fellow patient a little girl with a broken arm a fantastic story of five mythical heroes Thanks to his fractured state of mind and her vivid imagination the line between fiction and reality blurs as the tale advances,The Fall In a hospital on the outskirts of s Los Angeles an injured stuntman begins to tell a fellow patient a little girl with a broken arm a fantastic story of five mythical heroes Thanks to his fractured state of mind and her vivid imagination the line between fiction and reality blurs as the tale advances
Life of Pi,A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery While cast away he forms an unexpected connection with another survivor a fearsome Bengal tiger,Life of Pi A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery While cast away he forms an unexpected connection with another survivor a fearsome Bengal tiger
Fantastic Mr Fox,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers retaliation,Fantastic Mr Fox An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers retaliation
CRAZY,A young FrenchCanadian growing up in the s and s struggles to reconcile his emerging homosexuality with his fathers conservative values and his own Catholic beliefs,CRAZY A young FrenchCanadian growing up in the s and s struggles to reconcile his emerging homosexuality with his fathers conservative values and his own Catholic beliefs
Les choristes,The new teacher at a severely administered boys boarding school works to positively affect the students lives through music,Les choristes The new teacher at a severely administered boys boarding school works to positively affect the students lives through music
Iron Man,After being held captive in an Afghan cave billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil,Iron Man After being held captive in an Afghan cave billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil
Shaun of the Dead,A mans uneventful life is disrupted by the zombie apocalypse,Shaun of the Dead A mans uneventful life is disrupted by the zombie apocalypse
Gegen die Wand,With the intention to break free from the strict familial restrictions a suicidal young woman sets up a marriage of convenience with a fortyyearold addict an act that will lead to an outburst of envious love,Gegen die Wand With the intention to break free from the strict familial restrictions a suicidal young woman sets up a marriage of convenience with a fortyyearold addict an act that will lead to an outburst of envious love
Mystic River,The lives of three men who were childhood friends are shattered when one of them has a family tragedy,Mystic River The lives of three men who were childhood friends are shattered when one of them has a family tragedy
Harry Potter and the Prisoner of Azkaban,Harry Potter Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard,Harry Potter and the Prisoner of Azkaban Harry Potter Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard
Ying xiong,A defense officer Nameless was summoned by the King of Qin regarding his success of terminating three warriors,Ying xiong A defense officer Nameless was summoned by the King of Qin regarding his success of terminating three warriors
Hable con ella,Two men share an odd friendship while they care for two women who are both in deep comas,Hable con ella Two men share an odd friendship while they care for two women who are both in deep comas
No Mans Land,Bosnia and Herzegovina during at the time of the heaviest fighting between the two warring sides Two soldiers from opposing sides in the conflict Nino and Ciki become trapped in no mans land whilst a third soldier becomes a living booby trap,No Mans Land Bosnia and Herzegovina during at the time of the heaviest fighting between the two warring sides Two soldiers from opposing sides in the conflict Nino and Ciki become trapped in no mans land whilst a third soldier becomes a living booby trap
Cowboy Bebop Tengoku no tobira,A terrorist explosion releases a deadly virus on the masses and its up the bountyhunting Bebop crew to catch the coldblooded culprit,Cowboy Bebop Tengoku no tobira A terrorist explosion releases a deadly virus on the masses and its up the bountyhunting Bebop crew to catch the coldblooded culprit
The Bourne Identity,A man is picked up by a fishing boat bulletriddled and suffering from amnesia before racing to elude assassins and attempting to regain his memory,The Bourne Identity A man is picked up by a fishing boat bulletriddled and suffering from amnesia before racing to elude assassins and attempting to regain his memory
Nueve reinas,Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps the nine queens,Nueve reinas Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps the nine queens
Children of Men,In in a chaotic world in which women have become somehow infertile a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea,Children of Men In in a chaotic world in which women have become somehow infertile a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea
Almost Famous,A highschool boy is given the chance to write a story for Rolling Stone Magazine about an upandcoming rock band as he accompanies them on their concert tour,Almost Famous A highschool boy is given the chance to write a story for Rolling Stone Magazine about an upandcoming rock band as he accompanies them on their concert tour
Mulholland Dr,After a car wreck on the winding Mulholland Drive renders a woman amnesiac she and a perky Hollywoodhopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality,Mulholland Dr After a car wreck on the winding Mulholland Drive renders a woman amnesiac she and a perky Hollywoodhopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality
Toy Story,When Woody is stolen by a toy collector Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie Prospector and Bullseye,Toy Story When Woody is stolen by a toy collector Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie Prospector and Bullseye
Boogie Nights,Back when sex was safe pleasure was a business and business was booming an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent,Boogie Nights Back when sex was safe pleasure was a business and business was booming an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent
Mimi wo sumaseba,A love story between a girl who loves reading books and a boy who has previously checked out all of the library books she chooses,Mimi wo sumaseba A love story between a girl who loves reading books and a boy who has previously checked out all of the library books she chooses
Once Were Warriors,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts,Once Were Warriors A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts
True Romance,In Detroit a lonely pop culture geek marries a call girl steals cocaine from her pimp and tries to sell it in Hollywood Meanwhile the owners of the cocaine the Mob track them down in an attempt to reclaim it,True Romance In Detroit a lonely pop culture geek marries a call girl steals cocaine from her pimp and tries to sell it in Hollywood Meanwhile the owners of the cocaine the Mob track them down in an attempt to reclaim it
Trois couleurs Bleu,A woman struggles to find a way to live her life after the death of her husband and child,Trois couleurs Bleu A woman struggles to find a way to live her life after the death of her husband and child
Jb ninpch,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers with a ghost from his past as their leader who are bent on overthrowing the Tokugawa Shogunate,Jb ninpch A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers with a ghost from his past as their leader who are bent on overthrowing the Tokugawa Shogunate
Carlitos Way,A Puerto Rican former convict just released from prison pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC,Carlitos Way A Puerto Rican former convict just released from prison pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of NYC
Edward Scissorhands,An artificial man who was incompletely constructed and has scissors for hands leads a solitary life Then one day a suburban lady meets him and introduces him to her world,Edward Scissorhands An artificial man who was incompletely constructed and has scissors for hands leads a solitary life Then one day a suburban lady meets him and introduces him to her world
My Left Foot The Story of Christy Brown,Christy Brown born with cerebral palsy learns to paint and write with his only controllable limb his left foot,My Left Foot The Story of Christy Brown Christy Brown born with cerebral palsy learns to paint and write with his only controllable limb his left foot
Crimes and Misdemeanors,An ophthalmologists mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman,Crimes and Misdemeanors An ophthalmologists mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman
The Untouchables,During the era of Prohibition in the United States Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and because of rampant corruption assembles a small handpicked team to help him,The Untouchables During the era of Prohibition in the United States Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and because of rampant corruption assembles a small handpicked team to help him
Hannah and Her Sisters,Between two Thanksgivings two years apart Hannahs husband falls in love with her sister Lee while her hypochondriac exhusband rekindles his relationship with her sister Holly,Hannah and Her Sisters Between two Thanksgivings two years apart Hannahs husband falls in love with her sister Lee while her hypochondriac exhusband rekindles his relationship with her sister Holly
Brazil,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams,Brazil A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams
This Is Spinal Tap,Spinal Tap one of Englands loudest bands is chronicled by film director Marty DiBergi on what proves to be a fateful tour,This Is Spinal Tap Spinal Tap one of Englands loudest bands is chronicled by film director Marty DiBergi on what proves to be a fateful tour
A Christmas Story,In the s a young boy named Ralphie attempts to convince his parents his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift,A Christmas Story In the s a young boy named Ralphie attempts to convince his parents his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift
The Blues Brothers,Jake Blues just released from prison puts together his old band to save the Catholic home where he and his brother Elwood were raised,The Blues Brothers Jake Blues just released from prison puts together his old band to save the Catholic home where he and his brother Elwood were raised
Manhattan,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friends mistress,Manhattan The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friends mistress
All That Jazz,Directorchoreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon a womanizing drugusing dancer,All That Jazz Directorchoreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon a womanizing drugusing dancer
Dawn of the Dead,Following an evergrowing epidemic of zombies that have risen from the dead two Philadelphia SWAT team members a traffic reporter and his television executive girlfriend seek refuge in a secluded shopping mall,Dawn of the Dead Following an evergrowing epidemic of zombies that have risen from the dead two Philadelphia SWAT team members a traffic reporter and his television executive girlfriend seek refuge in a secluded shopping mall
All the Presidents Men,The Washington Post reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixons resignation,All the Presidents Men The Washington Post reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixons resignation
La montaa sagrada,In a corrupt greedfueled world a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain where they hope to achieve enlightenment,La montaa sagrada In a corrupt greedfueled world a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain where they hope to achieve enlightenment
Amarcord,A series of comedic and nostalgic vignettes set in a s Italian coastal town,Amarcord A series of comedic and nostalgic vignettes set in a s Italian coastal town
Le charme discret de la bourgeoisie,A surreal virtually plotless series of dreams centered around six middleclass people and their consistently interrupted attempts to have a meal together,Le charme discret de la bourgeoisie A surreal virtually plotless series of dreams centered around six middleclass people and their consistently interrupted attempts to have a meal together
Aguirre der Zorn Gottes,In the th century the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado,Aguirre der Zorn Gottes In the th century the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado
Harold and Maude,Young rich and obsessed with death Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral,Harold and Maude Young rich and obsessed with death Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral
Patton,The World War II phase of the career of controversial American general George S Patton,Patton The World War II phase of the career of controversial American general George S Patton
The Wild Bunch,An aging group of outlaws look for one last big score as the traditional American West is disappearing around them,The Wild Bunch An aging group of outlaws look for one last big score as the traditional American West is disappearing around them
Night of the Living Dead,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesheating ghouls that are ravaging the East Coast of the United States,Night of the Living Dead A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesheating ghouls that are ravaging the East Coast of the United States
The Lion in Winter,AD King Henry IIs three sons all want to inherit the throne but he wont commit to a choice They and his wife variously plot to force him,The Lion in Winter AD King Henry IIs three sons all want to inherit the throne but he wont commit to a choice They and his wife variously plot to force him
In the Heat of the Night,A black police detective is asked to investigate a murder in a racially hostile southern town,In the Heat of the Night A black police detective is asked to investigate a murder in a racially hostile southern town
Charade,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen Whom can she trust,Charade Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen Whom can she trust
The Manchurian Candidate,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy,The Manchurian Candidate A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy
Spartacus,The slave Spartacus leads a violent revolt against the decadent Roman Republic,Spartacus The slave Spartacus leads a violent revolt against the decadent Roman Republic
Lavventura,A woman disappears during a Mediterranean boating trip During the search her lover and her best friend become attracted to each other,Lavventura A woman disappears during a Mediterranean boating trip During the search her lover and her best friend become attracted to each other
Hiroshima mon amour,A French actress filming an antiwar film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war,Hiroshima mon amour A French actress filming an antiwar film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war
The Ten Commandments,Moses an Egyptian Prince learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people,The Ten Commandments Moses an Egyptian Prince learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people
The Searchers,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches,The Searchers An American Civil War veteran embarks on a journey to rescue his niece from the Comanches
East of Eden,Two brothers struggle to maintain their strict Bibletoting fathers favor,East of Eden Two brothers struggle to maintain their strict Bibletoting fathers favor
High Noon,A town Marshal despite the disagreements of his newlywed bride and the townspeople around him must face a gang of deadly killers alone at high noon when the gang leader an outlaw he sent up years ago arrives on the noon train,High Noon A town Marshal despite the disagreements of his newlywed bride and the townspeople around him must face a gang of deadly killers alone at high noon when the gang leader an outlaw he sent up years ago arrives on the noon train
Strangers on a Train,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder,Strangers on a Train A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder
Harvey,Due to his insistence that he has an invisible six foottall rabbit for a best friend a whimsical middleaged man is thought by his family to be insane but he may be wiser than anyone knows,Harvey Due to his insistence that he has an invisible six foottall rabbit for a best friend a whimsical middleaged man is thought by his family to be insane but he may be wiser than anyone knows
Miracle on th Street,When a nice old man who claims to be Santa Claus is institutionalized as insane a young lawyer decides to defend him by arguing in court that he is the real thing,Miracle on th Street When a nice old man who claims to be Santa Claus is institutionalized as insane a young lawyer decides to defend him by arguing in court that he is the real thing
Notorious,A woman is asked to spy on a group of Nazi friends in South America How far will she have to go to ingratiate herself with them,Notorious A woman is asked to spy on a group of Nazi friends in South America How far will she have to go to ingratiate herself with them
The Big Sleep,Private detective Philip Marlowe is hired by a wealthy family Before the complex case is over hes seen murder blackmail and what might be love,The Big Sleep Private detective Philip Marlowe is hired by a wealthy family Before the complex case is over hes seen murder blackmail and what might be love
The Lost Weekend,The desperate life of a chronic alcoholic is followed through a fourday drinking bout,The Lost Weekend The desperate life of a chronic alcoholic is followed through a fourday drinking bout
The Philadelphia Story,When a rich womans exhusband and a tabloidtype reporter turn up just before her planned remarriage she begins to learn the truth about herself,The Philadelphia Story When a rich womans exhusband and a tabloidtype reporter turn up just before her planned remarriage she begins to learn the truth about herself
His Girl Friday,A newspaper editor uses every trick in the book to keep his ace reporter exwife from remarrying,His Girl Friday A newspaper editor uses every trick in the book to keep his ace reporter exwife from remarrying
The Adventures of Robin Hood,When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richards absence a Saxon lord fights back as the outlaw leader of a rebel guerrilla army,The Adventures of Robin Hood When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richards absence a Saxon lord fights back as the outlaw leader of a rebel guerrilla army
A Night at the Opera,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies,A Night at the Opera A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies
King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star He is then captured and brought back to New York City for public exhibition,King Kong A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star He is then captured and brought back to New York City for public exhibition
Freaks,A circus beautiful trapeze artist agrees to marry the leader of sideshow performers but his deformed friends discover she is only marrying him for his inheritance,Freaks A circus beautiful trapeze artist agrees to marry the leader of sideshow performers but his deformed friends discover she is only marrying him for his inheritance
Nosferatu,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutters wife,Nosferatu Vampire Count Orlok expresses interest in a new residence and real estate agent Hutters wife
The Gentlemen,An American expat tries to sell off his highly profitable marijuana empire in London triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him,The Gentlemen An American expat tries to sell off his highly profitable marijuana empire in London triggering plots schemes bribery and blackmail in an attempt to steal his domain out from under him
Raazi,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the IndoPakistan War of,Raazi A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the IndoPakistan War of
Sound of Metal,A heavymetal drummers life is thrown into freefall when he begins to lose his hearing,Sound of Metal A heavymetal drummers life is thrown into freefall when he begins to lose his hearing
Forushande,While both participating in a production of Death of a Salesman a teachers wife is assaulted in her new home which leaves him determined to find the perpetrator over his wifes traumatized objections,Forushande While both participating in a production of Death of a Salesman a teachers wife is assaulted in her new home which leaves him determined to find the perpetrator over his wifes traumatized objections
Dunkirk,Allied soldiers from Belgium the British Empire and France are surrounded by the German Army and evacuated during a fierce battle in World War II,Dunkirk Allied soldiers from Belgium the British Empire and France are surrounded by the German Army and evacuated during a fierce battle in World War II
Perfetti sconosciuti,Seven longtime friends get together for a dinner When they decide to share with each other the content of every text message email and phone call they receive many secrets start to unveil and the equilibrium trembles,Perfetti sconosciuti Seven longtime friends get together for a dinner When they decide to share with each other the content of every text message email and phone call they receive many secrets start to unveil and the equilibrium trembles
